city,fips,population,portal_url,closure_definition
"Baltimore, MD",24510,577193.0,https://data.baltimorecity.gov,"Same figures as the within-Baltimore tabs (single source of truth): equity subset — resident-initiated (Phone/API/Mail/Email), non-ECC, tract-geocoded; closed = SRStatus 'Closed' / 'Closed (Transferred)'; record-level pooled median."
"Washington, DC",11001,672079.0,https://opendata.dc.gov/,"Closed = a resolution date (RESOLUTIONDATE) is present. DC auto-resolves some request types, so median days-to-close is directional, not exact."
"Philadelphia, PA",42101,1582432.0,https://opendataphilly.org/,"Closed = status is 'Closed'. Non-ECC, geocoded service requests; median days = closed_datetime − requested_datetime. Channel isn't published, so (like DC) no resident-only filter is applied."
"New York, NY","36005,36047,36061,36081,36085",8516202.0,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9,"Closed = closed_date present. Non-ECC, geocoded. Median days = closed_date − created_date. No resident-only filter (channel not modeled), as for DC."
"Chicago, IL",17031,2707648.0,https://data.cityofchicago.org/Service-Requests/311-Service-Requests/v6vf-nfxy,"Closed = closed_date present. Non-ECC, geocoded. Median days = closed_date − created_date. Unified 311 dataset (2018+); per-1k uses Cook County population."
"San Francisco, CA",06075,836321.0,https://data.sfgov.org/City-Infrastructure/311-Cases/vw6y-z8j6,"Closed = closed_date present. Non-ECC, geocoded. Median days = closed_date − requested_datetime. County = city, so per-1k is exact."
"Austin, TX",48453,967862.0,https://data.austintexas.gov/Utilities-and-City-Services/Austin-311-Public-Data/xwdj-i9he,"Closed = close date present. Non-ECC, geocoded. Median days = close_date − created_date. Per-1k uses Travis County population."
"Boston, MA",25025,663972.0,https://data.boston.gov/dataset/311-service-requests,"Closed = case_status 'Closed'. Non-ECC, geocoded. Median days = closed_dt − open_dt. Per-1k uses Suffolk County (city-proxy). Note: Oct-2025 backend migration may split later years across legacy/new datasets."
"Nashville, TN",47037,709846.0,https://data.nashville.gov/datasets/hubnashville-311-service-requests-2017-present,"Closed = a close date is present. Non-ECC, geocoded. Median days = closed − opened. Single ArcGIS layer (2017+), year-filtered. Consolidated city-county, per-1k exact."
"Kansas City, MO",29095,508233.0,https://data.kcmo.org/311/311-Call-Center-Reported-Issues/d4px-6rwg,"Closed = current_status 'resolved' (KC's terminal state — no 'closed' value) or a resolved_date present. Non-ECC, geocoded. Median days = resolved_date − open_date_time (KC populates resolved_date sparsely, so the median covers the timestamped subset). 2021+ system; per-1k uses Jackson County (city-proxy)."
"Dallas, TX",48113,1299553.0,https://www.dallasopendata.com/Services/311-Service-Requests/gc4d-8a49,"Closed = a close timestamp present or terminal status. Non-ECC, geocoded. Since Oct 2018; field names auto-discovered; per-1k uses the Dallas place population."
"Los Angeles, CA",06037,3857897.0,https://data.lacity.org/City-Infrastructure-Service-Requests/MyLA311-Service-Request-Data-2024/b7dx-7gc3,"Closed = closeddate present or status 'Closed'. Non-ECC, geocoded. One Socrata dataset per year; per-1k uses the LA place population (LA County is ~2.5x the city)."
